C1,C2,C3
3.15E-01,9.40E-02,5.91E-01
9.66E-01,1.05E-02,2.32E-02
7.37E-01,6.16E-02,2.01E-01
6.40E-01,1.85E-01,1.76E-01
5.69E-01,1.01E-01,3.30E-01
6.05E-01,7.42E-02,3.21E-01
2.41E-01,1.66E-01,5.93E-01
5.43E-01,3.79E-01,7.83E-02
2.84E-01,3.70E-01,3.46E-01
7.30E-01,8.95E-03,2.61E-01
9.49E-01,2.08E-02,2.99E-02
8.63E-01,4.32E-02,9.33E-02
2.13E-01,1.13E-01,6.73E-01
9.03E-01,4.93E-02,4.77E-02
5.01E-01,3.41E-01,1.59E-01
3.41E-01,5.13E-01,1.45E-01
4.19E-02,3.33E-01,6.25E-01
5.50E-01,2.32E-01,2.19E-01
3.21E-01,4.78E-01,2.01E-01
2.94E-01,5.04E-02,6.55E-01
7.27E-01,1.03E-01,1.70E-01
4.57E-01,7.75E-02,4.66E-01
6.38E-02,3.11E-01,6.25E-01
2.89E-01,3.35E-01,3.76E-01
9.65E-01,1.90E-03,3.31E-02
9.38E-01,3.00E-02,3.17E-02
2.25E-01,6.72E-01,1.03E-01
6.98E-01,2.45E-01,5.74E-02
4.90E-01,2.36E-01,2.74E-01
9.51E-01,2.53E-02,2.41E-02
6.96E-01,2.54E-01,5.01E-02
3.42E-01,1.93E-01,4.65E-01
2.71E-01,4.55E-01,2.73E-01
3.05E-01,6.89E-01,5.21E-03
8.45E-02,3.70E-01,5.46E-01
3.26E-01,1.06E-01,5.68E-01
2.99E-01,9.08E-02,6.11E-01
6.29E-01,3.24E-01,4.66E-02
1.53E-01,7.71E-01,7.64E-02
1.72E-01,2.91E-01,5.38E-01
3.51E-01,3.21E-01,3.29E-01
5.66E-01,2.43E-01,1.92E-01
3.26E-01,2.44E-01,4.30E-01
3.12E-02,9.03E-01,6.60E-02
6.97E-01,2.85E-01,1.83E-02
3.96E-01,2.88E-01,3.16E-01
5.02E-01,4.17E-01,8.08E-02
3.12E-01,6.59E-01,2.97E-02
7.56E-01,9.06E-02,1.53E-01
7.26E-01,2.18E-01,5.59E-02
9.32E-01,1.80E-02,5.03E-02
6.95E-01,9.86E-02,2.07E-01
9.90E-02,1.93E-01,7.07E-01
3.35E-01,4.43E-01,2.23E-01
7.23E-01,4.81E-02,2.29E-01
1.52E-02,8.02E-01,1.83E-01
6.56E-01,9.13E-02,2.53E-01
8.84E-01,8.87E-02,2.74E-02
4.61E-02,7.01E-01,2.53E-01
7.84E-01,1.47E-01,6.97E-02
9.48E-01,5.02E-02,1.64E-03
4.59E-01,3.00E-02,5.11E-01
4.34E-01,1.82E-01,3.84E-01
5.25E-01,3.70E-03,4.72E-01
4.85E-01,4.75E-01,3.99E-02
2.84E-01,3.09E-02,6.85E-01
3.63E-02,3.65E-01,5.99E-01
2.39E-01,6.54E-01,1.08E-01
7.32E-01,1.38E-01,1.30E-01
6.45E-01,1.70E-01,1.84E-01
8.80E-01,3.06E-02,8.92E-02
3.99E-01,2.33E-01,3.68E-01
7.36E-01,2.52E-01,1.13E-02
3.65E-01,5.77E-01,5.74E-02
1.91E-01,1.14E-01,6.95E-01
1.24E-01,1.02E-01,7.73E-01
1.75E-01,1.09E-02,8.14E-01
9.89E-01,1.06E-02,6.20E-04
